Player Name,Salary,Position,Age,Team,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Total Minutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SKILL
Monte Morris,9125000,PG,27,WAS,62,61,27.3,4,8.3,0.48,1.3,3.3,0.382,2.7,5,0.543,0.555,1,1.2,0.831,0.4,3,3.4,5.3,0.7,0.2,1,1.2,10.3,1695,15,0.579,0.396,0.15,1.8,11.6,6.9,26.4,1.2,0.6,9.9,15.6,3.1,1.1,4.2,0.12,0.8,-0.4,0.5,1.1,23.15
Caris LeVert,18796296,SG,28,CLE,74,30,30.2,4.3,10,0.431,1.7,4.4,0.392,2.6,5.6,0.462,0.517,1.8,2.4,0.722,0.7,3.1,3.8,3.9,1,0.3,1.6,2.3,12.1,2237,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18,1.6,1,12.4,18.7,1.4,3.1,4.4,0.095,-1,0.8,-0.2,1,23.09
Derrick White,17142857,SG,28,BOS,82,70,28.3,4.3,9.2,0.462,1.8,4.8,0.381,2.5,4.5,0.548,0.56,2,2.3,0.875,0.6,2.9,3.6,3.9,0.7,0.9,1.2,2.2,12.4,2319,15.4,0.604,0.516,0.253,2.5,11.2,6.9,19.4,1.1,2.8,10.1,17.7,4.4,3.1,7.4,0.154,1.1,1.3,2.4,2.6,23
Malik Monk,9472219,SG,24,SAC,77,0,22.3,4.6,10.3,0.448,1.9,5.2,0.359,2.8,5.2,0.538,0.538,2.4,2.7,0.889,0.4,2.2,2.6,3.9,0.6,0.3,1.9,1.6,13.5,1719,16.6,0.587,0.5,0.26,2.1,11.3,6.7,25,1.4,1,14.1,25.8,2.1,1.2,3.2,0.091,1.6,-1.4,0.3,1,22.97
Josh Hart,12960000,SF,27,NYK/POR,76,52,32.3,3.6,6.8,0.529,0.8,2.2,0.372,2.8,4.7,0.601,0.588,1.7,2.3,0.75,1.9,5.9,7.8,3.8,1.2,0.3,1.5,2.6,9.8,2454,14.1,0.622,0.315,0.338,6.5,21,13.7,16.1,1.8,0.8,16.4,12.6,3.8,2.2,6,0.118,-0.2,1.1,0.9,1.8,22.9
Aaron Gordon,20690909,PF,27,DEN,68,68,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3,0.8,0.8,1.4,1.9,16.3,2055,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1,22.79
Tyus Jones,15000000,PG,26,MEM,80,22,24.3,3.9,8.9,0.438,1.5,4.1,0.371,2.4,4.8,0.495,0.523,1,1.3,0.8,0.4,2.2,2.5,5.2,1,0.1,0.9,0.4,10.3,1940,16,0.546,0.459,0.141,1.5,9.4,5.5,28.8,2,0.3,8.9,17.7,3.4,2.3,5.7,0.141,1.2,0.3,1.6,1.7,22.75
Draymond Green,25806468,PF,32,GSW,73,73,31.5,3.4,6.5,0.527,0.5,1.8,0.305,2.9,4.7,0.612,0.57,1.1,1.5,0.713,0.9,6.3,7.2,6.8,1,0.8,2.8,3.1,8.5,2297,12.2,0.592,0.276,0.228,3.2,21.6,12.6,27.8,1.5,2.3,28.1,13.2,1.6,3.1,4.7,0.098,-1.8,2.6,0.8,1.6,22.7
Austin Reaves,1563518,SG,24,LAL,64,22,28.8,4,7.7,0.529,1.3,3.4,0.398,2.7,4.3,0.631,0.616,3.6,4.1,0.864,0.5,2.5,3,3.4,0.5,0.3,1.5,1.7,13,1843,14.9,0.687,0.441,0.541,2,9,5.6,15.7,0.8,0.9,14,16.2,4.1,1.4,5.4,0.142,0.6,0.1,0.7,1.2,22.22
Collin Sexton,16700000,PG,24,UTA,48,15,23.9,4.9,9.8,0.506,1,2.5,0.393,3.9,7.2,0.546,0.558,3.4,4.1,0.819,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,1145,15.9,0.616,0.261,0.425,3.5,6.3,5,17.9,1.1,0.4,13.3,23.4,2,0.5,2.5,0.105,0.1,-1.5,-1.3,0.2,22.1
